batch_size,seed,method,worst_case,robust_gap,avg_ref,decoy_mass,entropy,kl_to_ref
4096,11,RONPO-stochastic,0.24869092180716526,0.056960283306398324,0.5189201664512707,0.24718704840093322,1.855012838000334,0.22442870367950182
exact,12,RONPO-exact,0.2879834383511428,0.004375399107987454,0.5309273486405437,0.3402756233294933,1.3878443693618925,0.6915971723179434
8,12,RONPO-stochastic,0.22941926956713468,0.06293956789199559,0.5082951720978975,0.09564560430027969,1.913276413908878,0.16616512777095774
16,12,RONPO-stochastic,0.20609671806534083,0.08626211939378944,0.4767829255040805,0.06871325722909177,1.7251402938318439,0.3543012478479919
32,12,RONPO-stochastic,0.21559604019544384,0.07676279726368643,0.5038902450865935,0.09672238291161611,2.065333034704552,0.014108506975283784
64,12,RONPO-stochastic,0.22034580999463932,0.07201302746449095,0.5096202152735149,0.14316790893163445,2.007551866836952,0.07188967484288414
128,12,RONPO-stochastic,0.255431609599681,0.036927227859449296,0.531021471303681,0.27135350055401053,1.6696148377173854,0.40982670396245025
256,12,RONPO-stochastic,0.24523422692004263,0.04712461053908765,0.5170605983343063,0.2795936752592337,1.8170864593285352,0.26235508235130045
512,12,RONPO-stochastic,0.2493475900203072,0.043011247438823064,0.5189722853708526,0.23694535284204948,1.8662354527225269,0.21320608895730908
1024,12,RONPO-stochastic,0.2482375082153241,0.044121329243806184,0.5176617374463656,0.24251928451753424,1.869583484400325,0.2098580572795109
2048,12,RONPO-stochastic,0.2549772032366876,0.03738163422244267,0.5215882039283648,0.2441215979056054,1.8305275341325966,0.24891400754723897
4096,12,RONPO-stochastic,0.24897605831446742,0.04338277914466285,0.5191355200300644,0.24945984151774017,1.8563760957788114,0.22306544590102428
exact,13,RONPO-exact,0.2880369562495611,0.011710927313635155,0.5308291409347857,0.3403979387054022,1.3870323679355212,0.6924091737443143
8,13,RONPO-stochastic,0.21139023320868036,0.0883576503545159,0.5050095081350094,0.04578997032592358,2.0048016485698867,0.07463989310994887
16,13,RONPO-stochastic,0.20681565695554102,0.09293222660765524,0.49323165137915953,0.11194776318552459,1.9814028073605525,0.09803873431928341
32,13,RONPO-stochastic,0.22101197513310172,0.07873590843009454,0.5017884646574735,0.15226852215188713,1.8690600386535592,0.2103815030262766
64,13,RONPO-stochastic,0.23994216032301247,0.059805723240183795,0.5162086745947673,0.23527393546467987,1.8681184940024853,0.21132304767735055
128,13,RONPO-stochastic,0.25597567727763554,0.04377220628556072,0.5207497571229953,0.2226208700360321,1.822313294841348,0.2571282468384875
256,13,RONPO-stochastic,0.253044232920868,0.04670365064232829,0.5248782983501873,0.27241250954470164,1.7580329330865552,0.3214086085932807
512,13,RONPO-stochastic,0.24442139776008612,0.05532648580311014,0.5173835692345147,0.23357358278977114,1.8964301923660596,0.18301134931377627
1024,13,RONPO-stochastic,0.24170008566734036,0.0580477978958559,0.5169579819444717,0.25336112326546106,1.877017328152295,0.2024242135275406
2048,13,RONPO-stochastic,0.2469871269703216,0.05276075659287466,0.519580052997252,0.2455791853760032,1.865705271443138,0.21373627023669786
4096,13,RONPO-stochastic,0.25133924396290697,0.048408639600289294,0.5196313265438799,0.24850664119417645,1.845514313384472,0.23392722829536353
exact,14,RONPO-exact,0.28808883072693836,0.013267447063924187,0.5328097325219024,0.3404708294627006,1.3865610818639176,0.6928804598159183
8,14,RONPO-stochastic,0.2255689243485528,0.07578735344230975,0.4978013105608448,0.06643517129100099,1.9357483212887492,0.1436932203910864
16,14,RONPO-stochastic,0.21186527104624295,0.0894910067446196,0.5036747099893888,0.033107158586471605,1.8202458739549248,0.25919566772491126
32,14,RONPO-stochastic,0.19749933725264274,0.10385694053821981,0.5080820902953621,0.18347620475633272,2.001400727311929,0.07804081436790627
64,14,RONPO-stochastic,0.2605639820032994,0.04079229578756316,0.5105336647114426,0.1557094811978545,1.791018269486651,0.28842327219318475
128,14,RONPO-stochastic,0.25045419320635476,0.05090208458450779,0.5160685963907662,0.16898913409136623,1.890903991282379,0.18853755039745673
256,14,RONPO-stochastic,0.2509599314459906,0.050396346344871945,0.5224767345437518,0.24338758905346475,1.8161897202833874,0.2632518213964485
512,14,RONPO-stochastic,0.2521180450610772,0.049238232729785336,0.5191481246908917,0.22248892194989398,1.8787018333874885,0.20073970829234725
1024,14,RONPO-stochastic,0.2491069767287028,0.05224930106215975,0.5208667709385374,0.25809798811275686,1.8384778103659805,0.24096373131385515
2048,14,RONPO-stochastic,0.25384395037584434,0.04751232741501821,0.5218425614165336,0.2435852804933842,1.8379615567489596,0.2414799849308759
4096,14,RONPO-stochastic,0.2483893773557712,0.052966900435091335,0.5194131690870304,0.2521323412873222,1.855520382387149,0.22392115929268647
exact,15,RONPO-exact,0.2881974492719557,-0.005305125590824578,0.5352094536656298,0.3404692130717423,1.3855221992627929,0.6939193424170427
8,15,RONPO-stochastic,0.20857200705171028,0.07432031662942082,0.5101388200150675,0.06167807949384899,1.8041009495622924,0.27534059211754325
16,15,RONPO-stochastic,0.17895167414242663,0.10394064953870447,0.5050841723194556,0.19767076842104409,1.9350930189411994,0.1443485227386364
32,15,RONPO-stochastic,0.2566853493250499,0.026206974356081214,0.5130619498921806,0.131019104732321,1.911291554985271,0.16814998669456457
64,15,RONPO-stochastic,0.25036322208600537,0.03252910159512573,0.5197061906182786,0.14313737468506593,1.9315951029782068,0.14784643870162897
128,15,RONPO-stochastic,0.22690028191996905,0.05599204176116204,0.5103106586622079,0.2373467962928633,1.8874639077107964,0.19197763396903908
256,15,RONPO-stochastic,0.24351816305891458,0.03937416062221652,0.5210078851978753,0.2561254390503993,1.864107437707311,0.21533410397252453
512,15,RONPO-stochastic,0.24807634001370818,0.03481598366742292,0.5233981432265903,0.2186083011665057,1.8752031436290517,0.204238398050784
1024,15,RONPO-stochastic,0.2563597455383429,0.0265325781427882,0.5245515659509753,0.24866452833690333,1.8095702595282541,0.26987128215158157
2048,15,RONPO-stochastic,0.25522737496846093,0.027664948712670168,0.521143031377339,0.24640277814944503,1.8274658395823362,0.25197570209749987
4096,15,RONPO-stochastic,0.25007528432739023,0.03281703935374086,0.5233845519478252,0.26039917681135694,1.826499113700593,0.25294242797924277
exact,16,RONPO-exact,0.28799635494728776,0.00472886027311753,0.5308367988586987,0.34038276124288763,1.3873125592012399,0.6921289824785963
8,16,RONPO-stochastic,0.22543720356832014,0.06728801165208514,0.4991707884137127,0.05836464267638877,1.8928513676021566,0.18659017407767903
16,16,RONPO-stochastic,0.19024066423290778,0.10248455098749751,0.5055331500906518,0.11888644453884938,2.004058620529425,0.07538292115041086
32,16,RONPO-stochastic,0.18357136538412988,0.10915384983627541,0.5119245874671159,0.2941099637047574,1.8471007531942627,0.23234078848557319
64,16,RONPO-stochastic,0.24346124994763155,0.04926396527277374,0.5179978029521888,0.19301436756520296,1.892683508266404,0.18675803341343183
128,16,RONPO-stochastic,0.23895503519904301,0.053770180021362274,0.5144003724166336,0.22909094915630715,1.8594423765285908,0.21999916515124485
256,16,RONPO-stochastic,0.24147853982991233,0.05124667539049296,0.5177212259888163,0.23469454016882946,1.886305277098713,0.19313626458112285
512,16,RONPO-stochastic,0.24384001427755986,0.04888520094284543,0.5174026494234778,0.2422479754854608,1.88766293675446,0.19177860492537596
